Nanoparticle_Type,Base_Fluid,Volume_Fraction (%),Temperature (°C),Flow_Velocity (m/s),Thermal_Conductivity (W/mK),Specific_Heat_Capacity (J/kgK),Density (kg/m³),Viscosity (Pa·s),Heat_Transfer_Coefficient (W/m²K)
SiO2,Water,3.85,36.3,1.806,1.289,1728,1529,0.00196,3634.897882
ZnO,Ethylene Glycol,1.13,89.5,0.752,1.821,1038,947,0.00136,2789.839553
SiO2,Ethylene Glycol,2.75,51,2.584,1.371,3734,1294,0.00451,5815.577191
SiO2,Oil,2.68,87.1,1.314,1.176,3184,1541,0.007,2910.818546
ZnO,Propylene Glycol,3.19,40.8,1.209,1.885,2041,1633,0.00285,3972.413698
SiO2,Oil,1.21,49.1,2.472,0.818,1870,1220,0.00583,3817.354348
ZnO,Oil,2.91,46,0.809,1.022,3159,1601,0.00912,1545.431944
Al2O3,Ethylene Glycol,0.71,61.4,2.073,0.97,1881,1410,0.00082,9907.856188
TiO2,Propylene Glycol,3.05,72.6,0.2,1.194,2718,1383,0.00135,977.1677651
TiO2,Oil,4.45,52,2.289,1.365,2561,1091,0.00153,3513.691932
Al2O3,Ethylene Glycol,1.29,42.2,1.915,1.642,2164,1382,0.00348,6726.824525
SiO2,Ethylene Glycol,2.26,20.8,2.446,0.991,1332,1969,0.00449,4733.016267
SiO2,Water,2.31,40.8,1.826,1.246,2349,924,0.0083,2174.136483
CuO,Water,3.45,56.5,2.466,1.196,3261,1734,0.00995,3605.248067
ZnO,Ethylene Glycol,3.43,82.2,2.481,1.524,3480,1428,0.01002,3883.155971
SiO2,Oil,1.26,29.3,0.974,0.729,3599,1165,0.00424,2298.72256
Al2O3,Water,3.94,24.7,0.929,1.263,2259,1383,0.00762,1184.169837
ZnO,Propylene Glycol,1.21,40.5,2.262,0.956,3297,1756,0.0068,6082.456491
CuO,Oil,0.41,80.2,1.73,1.379,3091,1527,0.00717,5836.259137
TiO2,Water,1.13,71.1,0.428,1.761,1055,2015,0.0015,2894.637208
SiO2,Ethylene Glycol,3.59,32.7,1.343,1.007,2118,1215,0.00081,3413.520985
ZnO,Water,4.93,67.8,1.324,1.639,1447,1777,0.00939,1098.722582
TiO2,Water,4.84,20.3,1.348,0.729,1451,1192,0.00782,566.8867147
SiO2,Propylene Glycol,3.42,38.4,0.11,0.744,2277,1167,0.00095,380.1490732
SiO2,Propylene Glycol,4.81,22.4,0.274,1.987,3482,1355,0.00758,462.6097652
ZnO,Oil,1.35,79.2,1.652,0.853,2538,1925,0.00948,3682.17747
SiO2,Water,4.11,32.5,2.034,1.639,2888,1293,0.00179,4551.735942
TiO2,Oil,0.52,63,0.611,1.944,3566,916,0.00578,2453.670954
Al2O3,Ethylene Glycol,4.87,74.4,0.429,1.52,2664,1372,0.0005,1425.298169
SiO2,Water,2.15,24.9,0.667,1.365,4178,1801,0.00249,4012.437349
TiO2,Propylene Glycol,0.97,81.8,1.929,0.675,3205,1370,0.00237,5646.205656
SiO2,Oil,1.95,36.2,1.389,1.521,2075,1213,0.00368,3731.172962
SiO2,Oil,2.65,52.2,0.568,1.331,1003,1813,0.0011,2293.86845
SiO2,Water,2.6,59.2,0.455,1.885,884,1333,0.00524,956.8202447
Al2O3,Water,0.11,76.8,2.777,0.734,2460,913,0.00833,3711.43968
Al2O3,Oil,0.98,20.4,1.14,0.786,3543,1801,0.00426,4256.274715
SiO2,Ethylene Glycol,0.65,47.7,2.047,0.858,1526,1330,0.00593,3757.930736
Al2O3,Ethylene Glycol,1.08,31.8,2.061,0.608,4035,1220,0.00253,5383.830433
ZnO,Propylene Glycol,4.08,62.4,2.339,1.803,2841,1498,0.00238,5634.484664
CuO,Oil,4.2,59.7,0.243,0.978,1346,1763,0.00371,416.7824351
CuO,Water,2.02,42.2,2.858,1.651,2426,1392,0.00443,7513.945454
TiO2,Propylene Glycol,0.62,83.8,1.586,0.985,1635,1618,0.00904,3290.969735
ZnO,Propylene Glycol,1.15,87.1,0.718,1.645,857,1492,0.01014,1475.239208
ZnO,Oil,3.91,63.3,0.755,1.117,1940,1531,0.00369,1318.618776
TiO2,Water,2.9,72.1,2.8,1.746,2457,1216,0.00337,6530.693213
SiO2,Oil,1.96,23.8,0.289,1.848,3519,1502,0.00139,2444.443269
TiO2,Propylene Glycol,2.92,86.6,0.629,1.32,3841,1041,0.00565,1392.430114
Al2O3,Water,0.35,41.6,1.515,1.62,2904,1734,0.00187,10946.07105
ZnO,Propylene Glycol,0.16,62.6,2.411,1.392,1028,1183,0.00499,4697.184183
Al2O3,Propylene Glycol,3.97,20.1,2.408,0.706,3845,1008,0.00493,2051.205368
SiO2,Water,4.76,64.6,0.281,1.435,3412,1092,0.00235,553.14077
Al2O3,Ethylene Glycol,4.07,40.8,2.87,0.698,3066,1669,0.00681,2715.934385
ZnO,Oil,2.5,75.4,1.499,1.184,1580,1473,0.00427,3058.377896
CuO,Water,0.18,44.3,2.705,1.697,2872,1327,0.00856,8230.200234
CuO,Propylene Glycol,1.64,74.4,1.418,0.696,1864,1626,0.00961,2090.643632
Al2O3,Oil,3.2,61.3,1.941,1.69,1448,1176,0.00808,2312.969784
CuO,Ethylene Glycol,2.28,74.2,1.782,1.664,1870,1085,0.00259,4439.000309
CuO,Water,1.03,42.4,1.755,1.153,2467,1708,0.00494,5697.793397
TiO2,Propylene Glycol,4.28,76.1,1.852,1.141,2282,1271,0.00684,1653.982918
ZnO,Propylene Glycol,4.18,76.4,1.907,1.059,4387,1401,0.00428,2891.99623
CuO,Oil,3.81,72.7,0.859,0.81,4179,1236,0.00373,1419.286388
Al2O3,Propylene Glycol,0.21,61.6,0.742,1.369,3249,1087,0.0046,2943.643839
ZnO,Ethylene Glycol,3.81,64.9,1.786,1.874,1541,1088,0.00659,2093.535111
ZnO,Water,4.61,21.3,2.327,1.588,1987,1345,0.00343,2789.855154
CuO,Water,1,68.2,1.289,1.087,4013,1627,0.00349,5546.230942
Al2O3,Oil,1.77,86.2,1.675,0.899,1913,1372,0.00051,7701.898689
SiO2,Propylene Glycol,2.75,67.9,2.04,1.895,2020,1909,0.00664,5423.513802
ZnO,Water,1.12,77.7,2.552,1.59,3201,1466,0.00498,9063.865994
ZnO,Propylene Glycol,4.16,68.5,1.117,1.883,1614,1986,0.00496,2121.24766
CuO,Propylene Glycol,0.26,40.1,0.353,1.364,1319,1427,0.00728,1128.830611
SiO2,Propylene Glycol,0.47,34.2,2.307,0.908,2646,1487,0.00718,5360.057865
TiO2,Propylene Glycol,2.04,47.9,1.432,0.747,841,1765,0.00296,2507.352213
TiO2,Ethylene Glycol,0.83,35,0.494,1.624,2391,1771,0.00618,2406.199867
SiO2,Oil,3.2,28.8,3.021,1.554,1294,1481,0.00197,6373.467986
TiO2,Water,2.59,32.1,2.459,0.927,4321,1756,0.0011,10957.88823
TiO2,Water,1.41,52,0.307,0.633,2020,1115,0.00553,579.2661579
Al2O3,Water,3.92,82.6,1.315,1.703,2131,1550,0.00656,2082.893512
CuO,Oil,0.86,66.7,0.249,0.916,2563,1814,0.00873,918.1827519
TiO2,Propylene Glycol,2.08,47.6,1.41,0.79,3550,1020,0.00195,3442.548302
Al2O3,Water,0.97,33.6,1.905,0.871,2089,1455,0.00567,4059.309505
SiO2,Ethylene Glycol,4.46,56.3,0.814,1.942,2640,1762,0.00247,2202.5621
SiO2,Propylene Glycol,0.49,55.6,0.661,1.265,3124,1201,0.00113,4226.714091
SiO2,Ethylene Glycol,1.53,26.2,1.456,1.779,962,1445,0.00173,5294.533804
SiO2,Ethylene Glycol,4.88,58.8,0.651,1.501,3478,1874,0.00438,1249.836371
ZnO,Propylene Glycol,2.34,38.2,0.699,1.561,4371,1044,0.00057,4984.590315
SiO2,Ethylene Glycol,1.22,35.3,1.68,0.923,3725,1012,0.00823,3013.278435
ZnO,Water,1.72,37.9,0.925,1.31,2230,1856,0.00208,4791.677459
TiO2,Oil,1.58,79.3,0.418,1.152,1356,1792,0.00522,1245.674255
Al2O3,Oil,1.08,30.6,0.239,1.234,2063,1747,0.00782,933.8340558
Al2O3,Propylene Glycol,0.8,38.4,2.156,1.891,1996,1412,0.00287,9328.741932
ZnO,Oil,3.56,23.5,0.335,1.678,2587,1647,0.00656,925.7100543
Al2O3,Water,4.27,87.2,2.789,1.799,1583,1682,0.00902,2990.91622
SiO2,Ethylene Glycol,0.25,84.3,2.685,1.668,1338,1750,0.00257,11218.25518
TiO2,Ethylene Glycol,0.91,62.3,0.87,0.96,992,1318,0.00985,1277.482728
Al2O3,Ethylene Glycol,2.88,65.3,2.031,1.301,4491,1116,0.00407,4539.802861
ZnO,Ethylene Glycol,3.38,71.9,1.087,1.266,868,1340,0.00561,1245.888087
CuO,Propylene Glycol,2.84,69,1.083,0.676,1967,1038,0.00413,1258.312902
TiO2,Oil,0.19,61.2,1.796,1.563,1302,1753,0.00122,11029.9837
SiO2,Water,1.27,56.3,0.35,1.751,3472,1131,0.00177,2422.161841
Al2O3,Water,4.49,82.9,0.758,1.681,1990,1380,0.0092,844.5739692
ZnO,Oil,4.12,38.8,2.79,1.564,3097,1320,0.00495,3996.157654
Al2O3,Oil,0.51,32.1,0.316,1.099,3151,1719,0.00332,1869.562543
CuO,Propylene Glycol,2.31,54.2,1.458,1.731,1503,1719,0.00709,3489.758677
SiO2,Propylene Glycol,2.3,57.6,0.767,0.879,1336,1210,0.00565,1087.370631
SiO2,Ethylene Glycol,0.63,47.3,2.86,0.681,1188,1142,0.00064,7957.623201
SiO2,Propylene Glycol,2.3,31.6,2.988,1.654,1481,1586,0.001,12040.93574
CuO,Ethylene Glycol,1.63,27.2,2.145,0.924,1598,1449,0.00155,6031.186345
SiO2,Propylene Glycol,1.73,85.5,2.293,0.978,3593,1440,0.00921,4118.110909
ZnO,Water,2.42,81.9,0.329,1.959,1255,1080,0.00702,716.0757862
SiO2,Water,4.38,88.3,0.403,1.805,826,1585,0.00966,432.4713367
CuO,Propylene Glycol,1.07,64.5,0.391,1.817,3860,1426,0.00086,4495.498902
Al2O3,Ethylene Glycol,0.2,39.9,2.23,1.614,3754,953,0.0084,5731.288536
Al2O3,Oil,2.11,37.5,0.782,1.405,961,1484,0.00838,1358.709762
ZnO,Ethylene Glycol,3.91,82.2,1.4,1.265,1515,1621,0.00882,1560.057608
SiO2,Ethylene Glycol,1.87,56.7,0.498,0.637,1918,1288,0.00485,908.8099043
TiO2,Oil,1.08,20.6,2.456,0.602,2226,1684,0.00984,3648.985124
Al2O3,Oil,4.12,82.6,2.139,0.869,3508,1544,0.0088,2131.782392
CuO,Propylene Glycol,1.45,40.2,2.428,0.823,1934,1555,0.00655,4036.364373
SiO2,Water,2.54,69.6,2.152,1.688,4079,1026,0.00495,5064.648221
CuO,Oil,4.81,27.4,0.923,1.383,1678,1508,0.00395,1077.822284
CuO,Propylene Glycol,2.56,22.4,1.655,1.553,2007,1555,0.0037,4636.2997
SiO2,Ethylene Glycol,0.81,33.3,2.866,0.999,925,1343,0.00063,10194.32833
ZnO,Propylene Glycol,0.9,35.1,2.741,1.81,2655,1783,0.00893,9132.361258
Al2O3,Propylene Glycol,4.39,86.3,1.877,1.967,1566,1404,0.00589,2212.440475
CuO,Oil,4.49,72.7,2.376,1.196,2877,1542,0.00945,2021.930055
ZnO,Ethylene Glycol,3.33,24.6,2.615,1.144,4510,1968,0.00404,7143.400246
CuO,Oil,4.09,20.4,0.674,1.631,1759,1147,0.0097,713.2955916
Al2O3,Water,4.51,22.6,0.167,1.198,2034,1474,0.00261,363.8222824
SiO2,Ethylene Glycol,1.16,41.1,2.521,0.671,1982,1979,0.00916,4363.708089
SiO2,Water,4.41,70.3,1.622,0.751,1065,900,0.00346,818.2831682
ZnO,Oil,0.3,21.6,1.28,0.77,2476,1018,0.00542,2590.775991
ZnO,Propylene Glycol,0.8,81,0.823,0.929,1457,1468,0.00093,3936.563406
SiO2,Water,3.74,88.5,0.383,1.907,4319,1487,0.00051,3341.910269
Al2O3,Oil,0.79,75.3,0.632,1.303,4051,1101,0.00759,2052.901966
ZnO,Oil,4.86,22.9,0.807,1.694,1354,1632,0.00459,942.4412783
TiO2,Propylene Glycol,2.07,84.7,1.747,1.302,2207,903,0.0042,2932.106577
Al2O3,Ethylene Glycol,2.21,45.1,0.667,1.929,2601,1180,0.00374,2465.738399
CuO,Water,1.27,43.4,0.16,1.382,4197,1340,0.00698,788.2834231
CuO,Ethylene Glycol,3.49,82.1,2.165,1.808,1216,1042,0.00736,2194.306063
TiO2,Oil,1.27,44.6,1.81,0.917,4308,1833,0.00583,6020.023982
Al2O3,Ethylene Glycol,3.32,56.5,0.201,0.624,1181,1970,0.00386,362.6996892
Al2O3,Ethylene Glycol,0.23,77.8,0.803,0.642,2257,1508,0.00204,3108.433055
CuO,Propylene Glycol,3.92,81.2,2.852,1.389,1831,1283,0.00726,2823.929459
TiO2,Oil,1.89,73.4,1.606,1.826,1546,1374,0.00936,3176.519118
Al2O3,Propylene Glycol,1.49,78.7,0.265,1.92,2146,1567,0.00545,1301.608418
SiO2,Propylene Glycol,4.36,82.1,2.434,1.361,3301,1156,0.00547,2628.477522
ZnO,Oil,2.68,77.5,1.368,1.455,3455,1224,0.00896,2598.932183
Al2O3,Propylene Glycol,4.83,69.7,0.23,0.83,4277,1609,0.0015,564.4425266
Al2O3,Water,0.23,77,1.014,1.744,3389,1999,0.00834,5528.931768
CuO,Oil,0.51,20.8,0.554,1.049,3860,1840,0.00197,4236.613866
TiO2,Oil,3.66,63.4,2.13,1.412,2734,1385,0.00426,3821.660983
ZnO,Oil,1.46,34.8,0.109,1.627,1939,947,0.00782,314.0567395
SiO2,Ethylene Glycol,2.68,59.5,2.228,1.74,2399,1920,0.00566,6303.927624
ZnO,Propylene Glycol,2.29,34,0.707,0.619,1472,1835,0.00375,1420.710506
SiO2,Ethylene Glycol,4.09,85,0.277,0.937,2087,1233,0.00829,304.3644922
ZnO,Water,4.03,48,0.626,0.708,2540,952,0.00889,444.9157765
SiO2,Propylene Glycol,0.89,34.3,1.666,1.107,1562,1973,0.00897,4059.385755
Al2O3,Water,0.64,57.7,1.087,0.732,4070,1759,0.0094,3079.848443
CuO,Oil,1.76,65.4,0.359,1.104,2633,1236,0.0047,1092.234432
TiO2,Ethylene Glycol,2.75,40.3,1.17,1.809,1051,1033,0.00278,2244.943707
TiO2,Oil,4.73,32.9,1.855,0.659,4435,1201,0.00856,1104.748351
ZnO,Water,1.11,53.2,0.568,1.065,3492,1396,0.0042,2307.088398
Al2O3,Ethylene Glycol,2.28,56.4,0.543,0.925,3810,1370,0.00146,2491.990867
CuO,Water,1.05,45.3,2.606,1.55,1237,1291,0.00735,4695.011965
CuO,Propylene Glycol,0.91,34,2.205,1.574,4265,1642,0.00319,12127.43842
ZnO,Propylene Glycol,0.98,76,2.582,1.823,1193,1568,0.00056,17531.5428
CuO,Water,0.73,85.2,2.565,1.398,4032,1391,0.00217,12633.11217
CuO,Ethylene Glycol,2.42,67.6,0.655,0.875,3582,1642,0.00871,1475.853884
Al2O3,Water,1.81,77.4,2.288,0.695,4361,1051,0.00208,5391.483685
CuO,Oil,4.41,66.2,0.692,1.15,4328,1562,0.00833,1009.330642
Al2O3,Oil,1.85,77.5,0.508,0.629,1406,1599,0.00278,1159.848692
Al2O3,Propylene Glycol,4.23,86,2.998,1.778,3612,1887,0.0049,5991.585034
TiO2,Water,3.55,44.4,0.959,0.742,1629,1738,0.0018,1835.027334
TiO2,Oil,4.9,40.1,1.851,1.967,2193,1199,0.00452,1822.245598
CuO,Ethylene Glycol,0.4,41.2,2.138,1.001,2170,949,0.00454,4207.964795
ZnO,Oil,4.9,45.1,1.943,1.188,3628,1733,0.00577,2177.460012
TiO2,Water,3.18,85.8,1.197,0.764,2879,1836,0.00873,1734.996468
TiO2,Ethylene Glycol,0.96,21.4,2.813,0.69,3937,1883,0.0057,7369.927261
CuO,Oil,4.59,77.5,1.285,0.979,3076,1950,0.00395,1863.523753
CuO,Water,0.56,40.3,0.374,1.578,1627,1944,0.0069,1772.897859
TiO2,Oil,1.16,26.2,0.371,0.627,2615,1381,0.00294,1114.433153
ZnO,Propylene Glycol,4.28,29.1,0.18,1.33,3404,1207,0.00488,367.5274158
CuO,Ethylene Glycol,0.13,60.1,1.252,1.875,2775,1779,0.00431,7734.008927
ZnO,Propylene Glycol,2.65,64,2.649,0.788,4405,1286,0.00308,5344.388749
TiO2,Water,2.85,31.9,1.215,0.908,3713,1545,0.00097,5233.334751
TiO2,Oil,1.88,55.3,2.273,0.915,3132,1867,0.00466,6442.3712
ZnO,Ethylene Glycol,4,51.1,2.523,0.99,3049,1267,0.00971,2140.290584
ZnO,Ethylene Glycol,2.52,21.8,2.749,1.095,1255,1441,0.00743,3270.11538
CuO,Propylene Glycol,3.93,60.8,1.622,1.244,3760,1070,0.00379,2418.960536
TiO2,Oil,3.9,32,1.769,1.568,2868,898,0.00214,3047.540417
Al2O3,Propylene Glycol,3.45,32.6,0.149,1.566,1142,1823,0.00455,443.3222891
CuO,Oil,0.3,65,0.673,0.975,3179,1103,0.00865,1595.903499
ZnO,Water,3.95,73.4,1.154,0.922,1202,1179,0.00802,775.1099591
ZnO,Ethylene Glycol,3.91,87.2,1.914,1.538,3785,1508,0.00901,3050.160342
Al2O3,Ethylene Glycol,3.86,24.9,2.518,0.807,1366,1931,0.00604,2375.488969
CuO,Propylene Glycol,4.18,82.2,0.627,1.62,2918,1204,0.00059,2408.757814
Al2O3,Ethylene Glycol,1.2,41.5,0.636,1.511,2249,1643,0.00427,2850.924125
Al2O3,Oil,2.52,31.5,0.925,0.708,3876,1256,0.00719,1549.665093
ZnO,Water,4.49,76.3,0.781,1.78,1413,1015,0.00499,793.5843627
SiO2,Water,3.21,77.2,0.931,1.727,3140,1012,0.00483,1948.888948
TiO2,Ethylene Glycol,1.82,60,0.849,1.246,2584,1512,0.00446,2796.96849
TiO2,Ethylene Glycol,2.42,36.6,2.636,0.99,2397,1682,0.00582,4967.956761
TiO2,Oil,3.3,90.6,0.652,1.134,2311,1007,0.00433,1041.691679
ZnO,Propylene Glycol,0.88,75.7,2.243,1.07,1722,1330,0.00853,4000.964463
Al2O3,Water,4.9,25.2,1.012,1.507,2248,1584,0.004,1316.322368
Al2O3,Water,3.77,53.1,2.816,0.914,1333,1502,0.00265,3393.726226
Al2O3,Propylene Glycol,3.07,42.9,1.096,1.641,1610,1022,0.00904,1335.343043
TiO2,Oil,4.52,76.5,1.959,1.653,1299,1864,0.00552,2309.904533
SiO2,Ethylene Glycol,2.13,47.7,0.212,0.73,1801,1575,0.00107,961.8601777
CuO,Oil,4.47,73.9,0.817,1.8,2422,1987,0.00351,2034.526282
CuO,Oil,1.62,21.6,1.443,0.938,1888,1459,0.00603,2694.98613
SiO2,Water,0.15,66.3,2.706,1.132,2418,1242,0.00241,9430.27315
TiO2,Oil,4.94,22.6,0.201,1.392,3100,1128,0.00596,250.7005168
Al2O3,Propylene Glycol,2.1,32.6,1.61,1.742,1599,1067,0.00651,2877.957285
Al2O3,Propylene Glycol,1.46,45.8,0.89,0.956,1256,1807,0.00822,1671.557845
CuO,Water,3.75,56.7,2.607,1.276,3339,1849,0.00795,4130.549494
CuO,Ethylene Glycol,2.62,51.9,2.54,1.049,4316,1008,0.00835,3453.774926
SiO2,Ethylene Glycol,1.24,57.7,0.592,1.509,2472,1844,0.00546,2653.197102
SiO2,Water,3.04,39.2,1.816,1.642,861,1395,0.00583,2479.528024
CuO,Water,3.85,23.5,0.228,0.87,2262,1520,0.00521,387.8065004
ZnO,Ethylene Glycol,2.96,52.6,0.597,0.722,2587,899,0.003,885.9703848
Al2O3,Oil,2.76,60.8,2.182,1.166,3204,1694,0.0083,3916.542618
TiO2,Ethylene Glycol,4.42,45.9,1.164,1.152,2203,1529,0.00812,1166.12849
CuO,Propylene Glycol,4.53,34.5,2.48,0.979,1633,1421,0.00565,1777.882703
TiO2,Oil,3.61,78,1.298,0.815,2488,928,0.00152,1913.749331
ZnO,Oil,2.94,68.6,2.12,0.979,1118,1301,0.00619,2101.499039
SiO2,Propylene Glycol,1.42,83.3,1.785,0.718,2147,1197,0.00119,5065.789759
TiO2,Water,2.34,22.8,0.526,1.807,2008,1599,0.004,2083.020622
SiO2,Propylene Glycol,0.96,68.3,1.424,0.644,4000,1861,0.00112,8097.16511
ZnO,Oil,1.29,38.3,0.464,1.163,3982,1092,0.00444,1646.62246
Al2O3,Water,3.21,86.9,0.601,0.893,1121,898,0.00054,1341.758691
Al2O3,Oil,1.19,84.2,0.806,0.956,3272,940,0.00087,3634.297249
SiO2,Oil,3.31,76.3,2.85,0.944,3997,1374,0.00561,4025.144457
ZnO,Propylene Glycol,3.31,81.6,2.153,1.322,1076,1381,0.00606,2343.848506
CuO,Propylene Glycol,3.62,45.9,2.438,1.516,875,1232,0.00703,2096.681935
Al2O3,Propylene Glycol,2.47,85.7,2.143,1.073,4317,1447,0.00212,7389.733578
ZnO,Oil,0.53,59.4,2.446,1.89,4506,1891,0.00905,11041.26173
ZnO,Propylene Glycol,4.2,80.5,1.28,0.662,4097,1800,0.00794,1462.588153
TiO2,Propylene Glycol,0.86,39.8,2.059,0.988,3075,1259,0.00185,7583.025949
Al2O3,Ethylene Glycol,2.23,27.8,1.585,1.19,4139,1405,0.0061,3857.148381
SiO2,Propylene Glycol,4.74,28.5,0.396,1.947,3560,1440,0.00772,672.3462145
Al2O3,Ethylene Glycol,4.83,29.3,0.24,1.28,3510,1603,0.00814,357.3528371
ZnO,Ethylene Glycol,3.5,57.1,1.208,1.886,1170,1387,0.00284,2520.876124
CuO,Water,3.94,60.2,2.778,0.724,3422,1931,0.00467,3848.332947
SiO2,Propylene Glycol,3.33,28.7,0.838,1.305,1763,1157,0.00114,2338.324179
SiO2,Water,0.95,80.6,2.105,1.529,2667,1042,0.00837,4421.841972
TiO2,Oil,1.91,28.1,1.439,0.68,3848,1361,0.00964,2299.202059
SiO2,Oil,2.24,38.7,1.83,1.461,1755,1337,0.00838,3220.141803
TiO2,Propylene Glycol,3.61,36.2,0.307,1.937,1659,1313,0.00234,975.361646
Al2O3,Oil,2.35,29.5,1.55,1.774,1485,1229,0.00496,3164.859484
CuO,Water,1.98,83.2,2.372,0.963,3792,1232,0.0006,11150.30311
CuO,Oil,4.55,23.1,1.54,1.492,2066,953,0.0082,1088.950827
ZnO,Propylene Glycol,2.93,42.6,0.2,0.684,2223,1534,0.00945,326.3559579
Al2O3,Water,1.79,79.7,1.077,1.445,2081,1248,0.00418,3006.030735
TiO2,Ethylene Glycol,0.71,67.1,2.895,1.939,3271,1069,0.00479,9086.078736
ZnO,Propylene Glycol,2.07,87.2,0.178,1.07,3615,1132,0.00934,450.463058
SiO2,Ethylene Glycol,1.91,61.1,2.398,1.21,3617,1091,0.00627,4734.288717
TiO2,Water,0.61,33.4,0.18,0.645,1628,1031,0.00794,325.8644907
SiO2,Oil,0.77,35.7,1.134,1.815,2790,1942,0.00871,5047.340176
ZnO,Oil,0.45,20.6,2.062,1.177,2948,1352,0.00075,13531.73128
TiO2,Propylene Glycol,0.6,49.7,2.452,0.934,3564,1846,0.00202,12365.73492
CuO,Propylene Glycol,4.09,49.8,1.087,0.908,2606,1421,0.00277,1736.483121
ZnO,Oil,0.41,51,2.282,1.589,2194,983,0.00245,7809.936567
Al2O3,Water,0.76,28.9,0.949,1.817,1936,1596,0.00349,4744.129334
TiO2,Ethylene Glycol,3.9,70,1.475,1.534,4395,1757,0.00082,7826.677308
ZnO,Water,0.22,30.2,1.848,1.271,2821,1193,0.00894,4445.680576
CuO,Water,2.41,25.6,0.611,0.718,1749,1171,0.00671,775.4450321
CuO,Water,1.32,69.5,1.888,1.667,3267,1762,0.00835,6340.188938
CuO,Oil,0.82,30.9,2.566,0.822,2101,1165,0.00165,6737.339468
ZnO,Water,3.74,22.8,0.645,0.809,4278,1717,0.0069,1177.461616
ZnO,Propylene Glycol,2.53,23.2,1.481,1.858,4024,1466,0.00341,6100.734771
CuO,Propylene Glycol,1.77,70.2,1.56,0.963,1980,1149,0.00237,3484.31003
CuO,Water,0.97,77,0.995,1.858,4210,1148,0.00367,4983.707962
CuO,Ethylene Glycol,1.9,36.6,1.397,1.826,2576,946,0.0071,2885.460099
TiO2,Ethylene Glycol,3.02,44.6,0.179,1.274,2871,1979,0.0036,861.4163053
CuO,Ethylene Glycol,3.28,90.9,0.754,0.614,984,1882,0.00468,911.5737586
TiO2,Ethylene Glycol,4.15,79.2,0.741,1.566,4005,1160,0.00878,1093.10922
CuO,Water,4.49,84.7,0.779,1.593,1553,952,0.00428,771.3290469
TiO2,Water,3.81,24.1,1.161,1.65,1554,1352,0.00531,1764.34572
CuO,Propylene Glycol,4.48,53.8,2.757,1.846,3473,1515,0.00156,6910.495912
ZnO,Oil,0.31,75.6,2.394,1.827,4541,1219,0.00841,8065.229161
TiO2,Water,3.24,20.8,1.083,1.589,915,1156,0.00097,2740.826493
CuO,Water,1.15,39.8,0.82,0.99,4250,1900,0.00518,3698.27518
ZnO,Ethylene Glycol,1.19,72.2,0.246,1.322,1504,1009,0.00839,540.6625911
CuO,Oil,3.06,63.5,2.466,0.721,4213,1668,0.00805,3545.18925
CuO,Propylene Glycol,2.07,53.5,1.106,0.983,2533,1143,0.00125,3672.772558
CuO,Propylene Glycol,2.87,73,2.478,1.79,1092,1652,0.00118,8278.080942
CuO,Ethylene Glycol,4.35,38.8,1.701,1.069,832,1384,0.00293,1480.041234
SiO2,Propylene Glycol,0.64,44.6,1.493,1.553,4454,903,0.00719,4193.151267
ZnO,Ethylene Glycol,3.17,27.2,3.009,1.325,915,1419,0.00911,2612.26856
CuO,Water,1.09,56.2,0.865,1.459,2861,1086,0.00224,3794.7991
CuO,Oil,3.25,49.1,1.593,2.017,4303,1801,0.00733,4766.612064
CuO,Oil,0.1,81.7,1.503,1.196,4170,1102,0.00829,4331.938392
SiO2,Propylene Glycol,4.12,28.7,1.716,1.778,4214,2007,0.00984,3462.357049
SiO2,Propylene Glycol,4.68,58.7,2.871,1.62,2914,1064,0.0026,3431.82429
CuO,Propylene Glycol,1.82,59,2.298,1.491,1912,1523,0.00538,5487.811745
Al2O3,Propylene Glycol,2.19,74.6,2.455,0.83,3395,1320,0.00922,3306.329027
SiO2,Oil,1.31,89.9,1.676,1.936,1071,1939,0.00059,12831.71848
CuO,Propylene Glycol,4.87,81.5,2.622,1.686,4005,1783,0.00655,3377.937378
CuO,Oil,3.8,66.8,1.196,1.062,3372,1208,0.00781,1426.593226
TiO2,Propylene Glycol,3.71,50.2,2.013,1.746,1461,1989,0.00663,3300.085635
CuO,Water,2.34,65.3,1.011,1.594,3348,1689,0.00359,4457.384979
Al2O3,Propylene Glycol,2.97,30,1.766,1.595,1188,949,0.00467,2178.958824
Al2O3,Water,3.33,41.3,1.005,1.014,3667,1838,0.00065,5550.679914
SiO2,Ethylene Glycol,2.39,33.8,0.755,1.5,890,1860,0.00086,3646.967091
TiO2,Oil,0.53,39.8,1.537,1.346,1797,1010,0.0028,4412.316802
SiO2,Ethylene Glycol,3.35,82.9,2.56,0.632,1563,1854,0.00518,2791.246975
Al2O3,Water,4.71,55.8,2.445,1.728,3817,1978,0.00557,3983.659154
Al2O3,Propylene Glycol,1.12,76.5,0.522,0.801,3065,1871,0.00092,3921.104691
SiO2,Propylene Glycol,0.67,33.5,2.1,1.234,2321,1612,0.00977,4886.252244
SiO2,Propylene Glycol,2.1,65.9,2.431,1.175,2351,1968,0.00161,10622.54688
ZnO,Ethylene Glycol,1.71,31.6,2.565,0.74,1350,1520,0.00259,4835.705166
CuO,Propylene Glycol,4.63,54.9,0.655,1.725,1225,903,0.00407,536.105514
CuO,Oil,0.75,70,2.218,1.39,927,1303,0.00491,4390.076226
